FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.489329,489329,POINT (16.362343695536936 48.18997796500719),Leibenfrostgasse,Leibenfrostgasse,13A,768,2,
OEFFHALTESTOGD.489330,489330,POINT (16.401193000217553 48.22619319435781),Walcherstraße,Walcherstraße,"11A, 11B",1440,2,
OEFFHALTESTOGD.489331,489331,POINT (16.337256553449922 48.183795914015704),Arndtstraße,Arndtstraße,12A,82,2,
OEFFHALTESTOGD.489332,489332,POINT (16.464665077022254 48.26049360485763),Obachgasse,Obachgasse,27A,592,2,
OEFFHALTESTOGD.489333,489333,POINT (16.31949634018069 48.168035381920525),Sonnergasse,Sonnergasse,62A,1276,2,
OEFFHALTESTOGD.489334,489334,POINT (16.472301857325803 48.17179660812928),Alberner Hafenzufahrtsstraße,Alberner Hafenzufahrtsstraße,"79A, 79B",17,2,
OEFFHALTESTOGD.489335,489335,POINT (16.447748740518644 48.2370285190747),Neu-Kagran,Neu-Kagran,94A,927,2,
OEFFHALTESTOGD.489336,489336,POINT (16.396116882007984 48.22295706739422),Leopold-Moses-Gasse,Leopold-Moses-Gasse,82A,1897,2,
OEFFHALTESTOGD.489337,489337,POINT (16.486321229312942 48.22088726297504),Aurikelweg,Aurikelweg,97A,1650,2,
OEFFHALTESTOGD.489338,489338,POINT (16.489896504528428 48.158706290735076),Mannswörther Straße,Mannswörther Straße,"76A, 76B",825,2,
OEFFHALTESTOGD.489339,489339,POINT (16.291977274298063 48.221515111328344),Otto-Hötzl-Weg,Otto-Hötzl-Weg,"46A, 46B",985,2,
OEFFHALTESTOGD.489340,489340,POINT (16.255932136703347 48.202245210304646),"Hütteldorf, Bujattigasse","Hütteldorf, Bujattigasse","49A, 50A, 50B",184,2,
OEFFHALTESTOGD.489341,489341,POINT (16.329378954405584 48.14411543647348),Breiteneckergasse,Breiteneckergasse,65A,163,2,
OEFFHALTESTOGD.489342,489342,POINT (16.41966667246474 48.27988982970362),Schwanngasse,Schwanngasse,"36A, 36B",1192,2,
